,Accession,Host,Isolation Host,staining
10810,MF448572,Lactococcus,Lactococcus lactis,positive
10811,MF448560,Lactococcus,Lactococcus lactis,positive
10812,MG893203,Vibrio,Vibrio parahaemolyticus,negative
10813,MH445453,Klebsiella,Klebsiella pneumoniae,negative
10815,MH599087,Vibrio,Vibrio sp.,negative
10816,MG581355,Escherichia,Escherichia sp.,negative
10818,MH560358,Escherichia,Escherichia coli,negative
10819,MF431726,Vibrio,Vibrio alginolyticus,negative
10820,MH553563,Escherichia,Escherichia coli,negative
10822,MH015257,Ruegeria,Ruegeria pomeroyi,negative
10825,MH517022,Acinetobacter,Acinetobacter baumannii,negative
10826,MH512890,Synechococcus,Synechococcus sp.,negative
10827,MH464253,Shigella,Shigella flexneri,negative
10828,MH401416,Staphylococcus,Staphylococcus aureus,positive
10829,MH401415,Staphylococcus,Staphylococcus aureus,positive
10830,MH401414,Staphylococcus,Staphylococcus aureus,positive
10831,MH384261,Staphylococcus,Staphylococcus aureus,positive
10832,MH384259,Staphylococcus,Staphylococcus aureus,positive
10833,MH252365,Ralstonia,Ralstonia solanacearum,negative
10834,CP013974,Erwinia,Erwinia tracheiphila,negative
10835,MH221129,Salmonella,Salmonella enterica,positive
10836,MH587638,Klebsiella,Klebsiella pneumoniae,negative
10837,MH383160,Escherichia,Escherichia coli,negative
10840,MH178096,Aeromonas,Aeromonas salmonicida,negative
10841,MF158038,Shigella,Shigella flexneri,negative
10843,KY658673,Vibrio,Vibrio anguillarum,negative
10844,KM612262,Vibrio,Vibrio cholerae,negative
10846,JF974339,Escherichia,Escherichia coli,negative
10848,MG641885,Salmonella,Salmonella enterica,positive
10849,MF443126,Lactococcus,Lactococcus lactis,positive
10850,MF443125,Lactococcus,Lactococcus lactis,positive
10851,MF443124,Lactococcus,Lactococcus lactis,positive
10852,MF443122,Lactococcus,Lactococcus lactis,positive
10853,MF443121,Lactococcus,Lactococcus lactis,positive
10854,MF443120,Lactococcus,Lactococcus lactis,positive
10855,MF443119,Lactococcus,Lactococcus lactis,positive
10856,MF443123,Lactococcus,Lactococcus lactis,positive
10858,MH206184,Xanthomonas,Xanthomonas campestris,negative
10859,MH206183,Xanthomonas,Xanthomonas campestris,negative
10860,MH015259,Ruegeria,Ruegeria pomeroyi,negative
10861,MH015258,Ruegeria,Ruegeria pomeroyi,negative
10862,MH015256,Ruegeria,Ruegeria pomeroyi,negative
10863,MH015255,Ruegeria,Ruegeria pomeroyi,negative
10864,MH015254,Ruegeria,Ruegeria pomeroyi,negative
10865,MH015253,Ruegeria,Ruegeria pomeroyi,negative
10866,MH015252,Ruegeria,Ruegeria pomeroyi,negative
10867,MH015251,Ruegeria,Ruegeria pomeroyi,negative
10868,MH015250,Ruegeria,Ruegeria pomeroyi,negative
10869,MH015249,Ruegeria,Ruegeria pomeroyi,negative
10870,MH285980,Escherichia,Escherichia coli,negative
10871,MH359124,Escherichia,Escherichia coli,negative
10872,MH031343,Escherichia,Escherichia coli,negative
10873,MH358458,Escherichia,Escherichia coli,negative
10874,MH238467,Pasteurella,Pasteurella multocida,negative
10875,MH238466,Pasteurella,Pasteurella multocida,negative
10876,MH375074,Enterococcus,Enterococcus faecalis,positive
10877,MH358359,Salmonella,Salmonella sp.,positive
10878,MH445500,Alteromonas,Alteromonas marina,negative
10879,KY381600,Lactobacillus,Lactobacillus plantarum,positive
10880,MG781191,Escherichia,Escherichia coli,negative
10881,MG781190,Escherichia,Escherichia coli,negative
10882,MF893341,Ralstonia,Ralstonia solanacearum,negative
10883,MG748548,Escherichia,Escherichia sp.,negative
10884,MG748547,Escherichia,Escherichia sp.,negative
10886,MG020111,Lactobacillus,Lactobacillus brevis,positive
10887,AP014888,Vibrio,Vibrio coralliilyticus,negative
10888,AP014887,Vibrio,Vibrio coralliilyticus,negative
10889,AP014858,Vibrio,Vibrio coralliilyticus,negative
10890,MH133207,Acinetobacter,Acinetobacter baumannii,negative
10891,MF740800,Salmonella,Salmonella enterica,positive
10894,MH220877,Oenococcus,Oenococcus oeni,positive
10895,LT594300,Escherichia,Escherichia coli,negative
10896,MH023293,Escherichia,Escherichia coli,negative
10897,MH221128,Salmonella,Salmonella enterica,positive
10898,MH243438,Escherichia,Escherichia coli,negative
10899,MG251392,Salmonella,Salmonella enterica,positive
10900,MG251391,Salmonella,Salmonella enterica,positive
10901,KY575286,Klebsiella,Klebsiella pneumoniae,negative
10902,KY450753,Klebsiella,Klebsiella pneumoniae,negative
10903,KX278419,Pectobacterium,Pectobacterium atrosepticum,negative
10904,MF044458,Escherichia,Escherichia coli,negative
10905,MF101922,Ruegeria,Ruegeria pomeroyi,negative
10906,MH191398,Erwinia,Erwinia amylovora,negative
10907,MH341453,Listeria,Listeria,positive
10908,MH341452,Listeria,Listeria,positive
10909,MH341451,Listeria,Listeria,positive
10913,KY984068,Erwinia,Erwinia amylovora,negative
10914,MH243439,Escherichia,Escherichia coli,negative
10916,KY514265,Pectobacterium,Pectobacterium atrosepticum,negative
10917,KY514264,Pectobacterium,Pectobacterium atrosepticum,negative
10918,KY549659,Pectobacterium,Pectobacterium atrosepticum,negative
10919,MG966531,Escherichia,Escherichia coli,negative
10920,MG986485,Escherichia,Escherichia coli,negative
10921,MF034659,Pasteurella,Pasteurella multocida,negative
10922,KX587949,Klebsiella,Klebsiella pneumoniae,negative
10923,KY926791,Salmonella,Salmonella enterica,positive
10924,MH179477,Aeromonas,Aeromonas hydrophila,negative
10926,MH179471,Aeromonas,Aeromonas hydrophila,negative
10927,MH203384,Enterococcus,Enterococcus faecalis,positive
10928,MH179479,Aeromonas,Aeromonas hydrophila,negative
10929,MH179476,Aeromonas,Aeromonas hydrophila,negative
10930,MH179474,Aeromonas,Aeromonas hydrophila,negative
10931,MH179470,Aeromonas,Aeromonas hydrophila,negative
10932,MH105080,Marinomonas,Marinomonas sp.,negative
10933,MH059638,Pectobacterium,Pectobacterium atrosepticum,negative
10934,MH059633,Xanthomonas,Xanthomonas campestris,negative
10935,MH193369,Enterococcus,Enterococcus faecalis,positive
10936,MH051918,Escherichia,Escherichia coli,negative
10937,MH051917,Escherichia,Escherichia coli,negative
10938,MH051916,Escherichia,Escherichia coli,negative
10939,MH051915,Escherichia,Escherichia coli,negative
10940,MH051914,Escherichia,Escherichia coli,negative
10941,MH051913,Escherichia,Escherichia coli,negative
10942,MH051912,Escherichia,Escherichia coli,negative
10943,MH051911,Escherichia,Escherichia coli,negative
10944,MH105773,Vibrio,Vibrio cholerae,negative
10949,MH059635,Dickeya,Dickeya dadantii,negative
10950,MH059634,Dickeya,Dickeya dadantii,negative
10951,MH107246,Synechococcus,Synechococcus sp.,negative
10952,KY379511,Pseudoalteromonas,Pseudoalteromonas marina,negative
10954,KX257490,Pseudoalteromonas,Pseudoalteromonas sp.,negative
10956,MG793454,Mycobacterium,Mycobacterium smegmatis,positive
10958,MH107769,Staphylococcus,Staphylococcus aureus,positive
10959,MG966533,Pseudoalteromonas,Pseudoalteromonas sp.,negative
10960,MG652450,Ralstonia,Ralstonia solanacearum,negative
10961,HE956708,Yersinia,Yersinia enterocolitica,negative
10962,KY914478,Escherichia,Escherichia coli,negative
10963,MG775042,Citrobacter,Citrobacter rodentium,negative
10964,MG775043,Citrobacter,Citrobacter rodentium,negative
10967,KU747973,Pseudoalteromonas,Pseudoalteromonas sp.,negative
10973,MG099933,Escherichia,Escherichia coli,negative
10974,MG676225,Aeromonas,Aeromonas hydrophila,negative
10975,MG676224,Aeromonas,Aeromonas hydrophila,negative
10976,MH107028,Campylobacter,Campylobacter jejuni,negative
10977,MH028956,Staphylococcus,Staphylococcus aureus,positive
10978,MG999954,Enterobacter,Enterobacter cloacae,negative
10979,MG711516,Ralstonia,Ralstonia solanacearum,negative
10980,MG983840,Escherichia,Escherichia coli,negative
10981,MH102284,Salmonella,Salmonella sp.,positive
10982,MG266157,Dickeya,Dickeya solani,negative
10984,KY744566,Pectobacterium,Pectobacterium carotovorum,negative
10986,MG976803,Escherichia,Escherichia coli,negative
10987,MH042230,Acinetobacter,Acinetobacter baumannii,negative
10988,MH078572,Staphylococcus,Staphylococcus sp.,positive
10989,MG972768,Klebsiella,Klebsiella pneumoniae,negative
10990,AP018361,Lactobacillus,Lactobacillus paracasei,positive
10991,MG969427,Anoxybacillus,Anoxybacillus caldiproteolyticus,positive
10992,MG788324,Lactobacillus,Lactobacillus plantarum,positive
10993,MG732930,Enterobacter,Enterobacter cloacae,negative
11012,LN866626,Klebsiella,Klebsiella pneumoniae,negative
11013,AJ748296,Sulfolobus,Sulfolobus islandicus,negative
11014,MF774689,Salmonella,Gallus gallus,positive
11015,MF774688,Salmonella,Gallus gallus,positive
11016,MF774687,Salmonella,Gallus gallus,positive
11017,MG963916,Escherichia,Escherichia coli,negative
11018,MG941013,Actinomyces,Actinomyces odontolyticus,positive
11020,MG873442,Salmonella,Salmonella enterica,positive
11022,MG894052,Klebsiella,Klebsiella pneumoniae,negative
11023,KY787213,Salmonella,Salmonella enterica,positive
11024,KY787212,Salmonella,Salmonella enterica,positive
11025,MG214783,Sinorhizobium,Sinorhizobium meliloti,negative
11026,MG765274,Lactobacillus,Lactobacillus plantarum,positive
11027,MG833025,Escherichia,Escherichia coli,negative
11028,MG957431,Vibrio,Vibrio cholerae,negative
11029,KY684082,Shigella,Shigella flexneri,negative
11030,KY620117,Salmonella,Salmonella enterica,positive
11031,KY963424,Shigella,Shigella sonnei,negative
11032,MG766219,Staphylococcus,Staphylococcus aureus,positive
11033,MG710528,Escherichia,Escherichia coli,negative
11034,MG366115,Acinetobacter,Acinetobacter baumannii,negative
11035,MG366114,Acinetobacter,Acinetobacter baumannii,negative
11036,LC371242,Escherichia,Escherichia coli,negative
11037,MG820644,Propionibacterium,Cutibacterium acnes,positive
11038,MG820643,Propionibacterium,Cutibacterium acnes,positive
11039,MG820642,Propionibacterium,Cutibacterium acnes,positive
11040,MG820641,Propionibacterium,Cutibacterium acnes,positive
11041,MG820640,Propionibacterium,Cutibacterium acnes,positive
11042,MG820639,Propionibacterium,Cutibacterium acnes,positive
11043,MG820638,Propionibacterium,Cutibacterium acnes,positive
11044,MG820637,Propionibacterium,Cutibacterium acnes,positive
11045,MG820636,Propionibacterium,Cutibacterium acnes,positive
11046,MG820635,Propionibacterium,Cutibacterium acnes,positive
11047,MG820634,Propionibacterium,Cutibacterium acnes,positive
11048,MG820633,Propionibacterium,Cutibacterium acnes,positive
11049,MG820632,Propionibacterium,Cutibacterium acnes,positive
11050,MG820645,Propionibacterium,Cutibacterium acnes,positive
11051,HG792103,Escherichia,Escherichia coli,negative
11052,MG845865,Escherichia,Escherichia coli,negative
11053,MF403009,Agrobacterium,Agrobacterium tumefaciens,negative
11054,MF403008,Agrobacterium,Agrobacterium tumefaciens,negative
11055,MF403007,Agrobacterium,Agrobacterium tumefaciens,negative
11056,MF403006,Agrobacterium,Agrobacterium tumefaciens,negative
11057,MF403005,Agrobacterium,Agrobacterium tumefaciens,negative
11058,CP018841,Staphylococcus,Staphylococcus epidermidis,positive
11059,MF327006,Shigella,Shigella boydii;,negative
11060,MF327007,Shigella,Shigella flexneri;,negative
11061,MF327009,Shigella,Shigella flexneri;,negative
11062,MF327008,Shigella,Shigella flexneri,negative
11063,MF327004,Shigella,Shigella boydii;,negative
11064,MF327003,Shigella,Shigella flexneri,negative
11065,MG835858,Klebsiella,Klebsiella pneumoniae,negative
11066,MG832642,Escherichia,Escherichia coli,negative
11067,MG711460,Faecalibacterium,Faecalibacterium prausnitzii,positive
11068,MG835450,Pontimonas,Pontimonas salivibrio,positive
11069,MG765276,Lactobacillus,Lactobacillus plantarum,positive
11070,MG770897,Staphylococcus,Staphylococcus aureus,positive
11071,MG770379,Klebsiella,Klebsiella pneumoniae,negative
11072,MG744354,Lactobacillus,Lactobacillus plantarum,positive
11073,MG711467,Faecalibacterium,Faecalibacterium prausnitzii,positive
11074,MG711466,Faecalibacterium,Faecalibacterium prausnitzii,positive
11075,MG711465,Faecalibacterium,Faecalibacterium prausnitzii,positive
11076,MG711464,Faecalibacterium,Faecalibacterium prausnitzii,positive
11077,MG711463,Faecalibacterium,Faecalibacterium prausnitzii,positive
11078,MG711462,Faecalibacterium,Faecalibacterium prausnitzii,positive
11079,MG711461,Faecalibacterium,Faecalibacterium prausnitzii,positive
11080,MF327005,Shigella,Shigella flexneri,negative
11081,MG708276,Enterococcus,Enterococcus faecalis,positive
11082,MG189906,Stenotrophomonas,Stenotrophomonas maltophilia,negative
11084,KX130863,Shigella,Shigella sonnei,negative
11085,MF276773,Erwinia,Erwinia tracheiphila,negative
11088,MG766218,Staphylococcus,Staphylococcus aureus,positive
11089,MG592672,Vibrio,Vibrio lentus,negative
11090,MG592671,Vibrio,Vibrio cyclitrophicus,negative
11091,MG592670,Vibrio,Vibrio sp.,negative
11092,MG592669,Vibrio,Vibrio sp.,negative
11093,MG592668,Vibrio,Vibrio splendidus,negative
11094,MG592667,Vibrio,Vibrio breoganii,negative
11095,MG592666,Vibrio,Shewanella,negative
11096,MG592665,Vibrio,Vibrio sp.,negative
11097,MG592664,Vibrio,Vibrio sp.,negative
11098,MG592662,Vibrio,Vibrio lentus,negative
11099,MG592661,Vibrio,Vibrio lentus,negative
11100,MG592660,Vibrio,Vibrio cyclitrophicus,negative
11101,MG592659,Vibrio,Vibrio cyclitrophicus,negative
11102,MG592658,Vibrio,Vibrio cyclitrophicus,negative
11103,MG592657,Vibrio,Vibrio cyclitrophicus,negative
11104,MG592656,Vibrio,Vibrio cyclitrophicus,negative
11105,MG592655,Vibrio,Vibrio lentus,negative
11106,MG592654,Vibrio,Vibrio cyclitrophicus,negative
11107,MG592653,Vibrio,Vibrio lentus,negative
11108,MG592652,Vibrio,Vibrio lentus,negative
11109,MG592651,Vibrio,Vibrio lentus,negative
11110,MG592650,Vibrio,Vibrio lentus,negative
11111,MG592649,Vibrio,Vibrio lentus,negative
11112,MG592648,Vibrio,Vibrio lentus,negative
11113,MG592647,Vibrio,Vibrio cyclitrophicus,negative
11114,MG592646,Vibrio,Vibrio lentus,negative
11115,MG592645,Vibrio,Vibrio lentus,negative
11116,MG592644,Vibrio,Vibrio cyclitrophicus,negative
11117,MG592643,Vibrio,Vibrio cyclitrophicus,negative
11118,MG592642,Vibrio,Vibrio lentus,negative
11119,MG592641,Vibrio,Vibrio cyclitrophicus,negative
11120,MG592640,Vibrio,Vibrio lentus,negative
11121,MG592639,Vibrio,Vibrio lentus,negative
11122,MG592638,Vibrio,Vibrio lentus,negative
11123,MG592637,Vibrio,Vibrio lentus,negative
11124,MG592636,Vibrio,Vibrio lentus,negative
11125,MG592635,Vibrio,Vibrio lentus,negative
11126,MG592634,Vibrio,Vibrio lentus,negative
11127,MG592633,Vibrio,Vibrio lentus,negative
11128,MG592632,Vibrio,Vibrio lentus,negative
11129,MG592631,Vibrio,Vibrio breoganii,negative
11130,MG592630,Vibrio,Vibrio cyclitrophicus,negative
11131,MG592629,Vibrio,Vibrio splendidus,negative
11132,MG592628,Vibrio,Vibrio cyclitrophicus,negative
11133,MG592627,Vibrio,Vibrio cyclitrophicus,negative
11134,MG592626,Vibrio,Vibrio breoganii,negative
11135,MG592625,Vibrio,Vibrio breoganii,negative
11136,MG592623,Vibrio,Vibrio splendidus,negative
11137,MG592622,Vibrio,Vibrio cyclitrophicus,negative
11138,MG592621,Vibrio,Vibrio splendidus,negative
11139,MG592620,Vibrio,Vibrio lentus,negative
11140,MG592619,Vibrio,Vibrio cyclitrophicus,negative
11141,MG592618,Vibrio,Vibrio lentus,negative
11142,MG592617,Vibrio,Vibrio splendidus,negative
11143,MG592614,Vibrio,Vibrio cyclitrophicus,negative
11144,MG592613,Vibrio,Vibrio splendidus,negative
11145,MG592612,Vibrio,Vibrio splendidus,negative
11146,MG592611,Vibrio,Vibrio sp.,negative
11147,MG592610,Vibrio,Vibrio breoganii,negative
11148,MG592609,Vibrio,Vibrio sp.,negative
11149,MG592608,Vibrio,Vibrio cyclitrophicus,negative
11150,MG592607,Vibrio,Vibrio breoganii,negative
11151,MG592606,Vibrio,Vibrio breoganii,negative
11152,MG592605,Vibrio,Vibrio breoganii,negative
11153,MG592604,Vibrio,Vibrio breoganii,negative
11154,MG592603,Vibrio,Vibrio breoganii,negative
11155,MG592602,Vibrio,Vibrio lentus,negative
11156,MG592601,Vibrio,Vibrio lentus,negative
11157,MG592600,Vibrio,Vibrio cyclitrophicus,negative
11158,MG592599,Vibrio,Vibrio lentus,negative
11159,MG592598,Vibrio,Vibrio breoganii,negative
11160,MG592597,Vibrio,Vibrio breoganii,negative
11161,MG592596,Vibrio,Vibrio tasmaniensis,negative
11162,MG592595,Vibrio,Vibrio lentus,negative
11163,MG592594,Vibrio,Vibrio breoganii,negative
11164,MG592593,Vibrio,Vibrio breoganii,negative
11165,MG592592,Vibrio,Vibrio splendidus,negative
11166,MG592591,Vibrio,Vibrio breoganii,negative
11167,MG592590,Vibrio,Vibrio lentus,negative
11168,MG592589,Vibrio,Vibrio sp.,negative
11169,MG592588,Vibrio,Vibrio sp.,negative
11170,MG592587,Vibrio,Vibrio sp.,negative
11171,MG592586,Vibrio,Vibrio splendidus,negative
11172,MG592585,Vibrio,Vibrio splendidus,negative
11173,MG592584,Vibrio,Vibrio cyclitrophicus,negative
11174,MG592583,Vibrio,Vibrio sp.,negative
11175,MG592582,Vibrio,Vibrio tasmaniensis,negative
11176,MG592581,Vibrio,Vibrio tasmaniensis,negative
11177,MG592580,Vibrio,Vibrio sp.,negative
11178,MG592579,Vibrio,Vibrio breoganii,negative
11179,MG592578,Vibrio,Vibrio splendidus,negative
11180,MG592577,Vibrio,Vibrio breoganii,negative
11181,MG592576,Vibrio,Vibrio breoganii,negative
11182,MG592575,Vibrio,Vibrio tasmaniensis,negative
11183,MG592574,Vibrio,Vibrio cyclitrophicus,negative
11184,MG592573,Vibrio,Vibrio cyclitrophicus,negative
11185,MG592572,Vibrio,Vibrio cyclitrophicus,negative
11186,MG592571,Vibrio,Vibrio lentus,negative
11187,MG592570,Vibrio,Vibrio cyclitrophicus,negative
11188,MG592569,Vibrio,Vibrio cyclitrophicus,negative
11189,MG592568,Vibrio,Vibrio cyclitrophicus,negative
11190,MG592567,Vibrio,Vibrio cyclitrophicus,negative
11191,MG592566,Vibrio,Vibrio cyclitrophicus,negative
11192,MG592565,Vibrio,Vibrio lentus,negative
11193,MG592564,Vibrio,Vibrio lentus,negative
11194,MG592563,Vibrio,Vibrio lentus,negative
11195,MG592562,Vibrio,Vibrio splendidus,negative
11196,MG592561,Vibrio,Vibrio splendidus,negative
11197,MG592560,Vibrio,Vibrio lentus,negative
11198,MG592559,Vibrio,Vibrio breoganii,negative
11199,MG592558,Vibrio,Vibrio breoganii,negative
11200,MG592557,Vibrio,Vibrio breoganii,negative
11201,MG592556,Vibrio,Vibrio breoganii,negative
11202,MG592555,Vibrio,Vibrio breoganii,negative
11203,MG592554,Vibrio,Vibrio breoganii,negative
11204,MG592553,Vibrio,Vibrio splendidus,negative
11205,MG592552,Vibrio,Vibrio cyclitrophicus,negative
11206,MG592551,Vibrio,Vibrio sp.,negative
11207,MG592550,Vibrio,Vibrio cyclitrophicus,negative
11208,MG592549,Vibrio,Vibrio sp.,negative
11209,MG592548,Vibrio,Vibrio breoganii,negative
11210,MG592547,Vibrio,Vibrio splendidus,negative
11211,MG592546,Vibrio,Vibrio splendidus,negative
11212,MG592545,Vibrio,Vibrio cyclitrophicus,negative
11213,MG592544,Vibrio,Vibrio sp.,negative
11214,MG592543,Vibrio,Vibrio breoganii,negative
11215,MG592542,Vibrio,Vibrio lentus,negative
11216,MG592541,Vibrio,Vibrio lentus,negative
11217,MG592540,Vibrio,Vibrio cyclitrophicus,negative
11218,MG592539,Vibrio,Vibrio breoganii,negative
11219,MG592538,Vibrio,Vibrio lentus,negative
11220,MG592537,Vibrio,Vibrio sp.,negative
11221,MG592536,Vibrio,Vibrio breoganii,negative
11222,MG592535,Vibrio,Vibrio breoganii,negative
11223,MG592534,Vibrio,Vibrio breoganii,negative
11224,MG592533,Vibrio,Vibrio lentus,negative
11225,MG592532,Vibrio,Vibrio breoganii,negative
11226,MG592531,Vibrio,Vibrio sp.,negative
11227,MG592530,Vibrio,Vibrio breoganii,negative
11228,MG592529,Vibrio,Vibrio lentus,negative
11229,MG592528,Vibrio,Vibrio lentus,negative
11230,MG592527,Vibrio,Vibrio sp.,negative
11231,MG592526,Vibrio,Vibrio lentus,negative
11232,MG592525,Vibrio,Vibrio breoganii,negative
11233,MG592524,Vibrio,Vibrio sp.,negative
11234,MG592523,Vibrio,Vibrio sp.,negative
11235,MG592522,Vibrio,Vibrio sp.,negative
11236,MG592521,Vibrio,Vibrio splendidus,negative
11237,MG592520,Vibrio,Vibrio splendidus,negative
11238,MG592519,Vibrio,Vibrio splendidus,negative
11239,MG592518,Vibrio,Vibrio cyclitrophicus,negative
11240,MG592517,Vibrio,Vibrio breoganii,negative
11241,MG592516,Vibrio,Vibrio breoganii,negative
11242,MG592515,Vibrio,Vibrio splendidus,negative
11243,MG592514,Vibrio,Vibrio lentus,negative
11244,MG592513,Vibrio,Vibrio sp.,negative
11245,MG592511,Vibrio,Vibrio breoganii,negative
11246,MG592510,Vibrio,Vibrio breoganii,negative
11247,MG592509,Vibrio,Vibrio lentus,negative
11248,MG592508,Vibrio,Vibrio lentus,negative
11249,MG592507,Vibrio,Vibrio sp.,negative
11250,MG592506,Vibrio,Vibrio sp.,negative
11251,MG592505,Vibrio,Vibrio breoganii,negative
11252,MG592504,Vibrio,Vibrio breoganii,negative
11253,MG592503,Vibrio,Vibrio breoganii,negative
11254,MG592502,Vibrio,Vibrio breoganii,negative
11255,MG592501,Vibrio,Vibrio lentus,negative
11256,MG592499,Vibrio,Vibrio sp.,negative
11257,MG592498,Vibrio,Enterovibrio norvegicus,negative
11258,MG592497,Vibrio,Vibrio cyclitrophicus,negative
11259,MG592496,Vibrio,Vibrio cyclitrophicus,negative
11260,MG592495,Vibrio,Enterovibrio norvegicus,negative
11261,MG592494,Vibrio,Vibrio lentus,negative
11262,MG592493,Vibrio,Vibrio lentus,negative
11263,MG592492,Vibrio,Vibrio lentus,negative
11264,MG592491,Vibrio,Vibrio breoganii,negative
11265,MG592490,Vibrio,Vibrio breoganii,negative
11266,MG592489,Vibrio,Vibrio breoganii,negative
11267,MG592488,Vibrio,Vibrio breoganii,negative
11268,MG592487,Vibrio,Vibrio splendidus,negative
11269,MG592486,Vibrio,Vibrio lentus,negative
11270,MG592485,Vibrio,Vibrio lentus,negative
11271,MG592484,Vibrio,Vibrio lentus,negative
11272,MG592483,Vibrio,Vibrio breoganii,negative
11273,MG592482,Vibrio,Vibrio breoganii,negative
11274,MG592478,Vibrio,Vibrio cyclitrophicus,negative
11275,MG592477,Vibrio,Vibrio cyclitrophicus,negative
11276,MG592476,Vibrio,Vibrio lentus,negative
11277,MG592475,Vibrio,Vibrio splendidus,negative
11278,MG592473,Vibrio,Enterovibrio norvegicus,negative
11279,MG592472,Vibrio,Vibrio lentus,negative
11280,MG592471,Vibrio,Vibrio lentus,negative
11281,MG592470,Vibrio,Vibrio sp.,negative
11282,MG592468,Vibrio,Vibrio sp.,negative
11283,MG592467,Vibrio,Vibrio sp.,negative
11284,MG592466,Vibrio,Vibrio lentus,negative
11285,MG592465,Vibrio,Vibrio lentus,negative
11286,MG592464,Vibrio,Vibrio lentus,negative
11287,MG592463,Vibrio,Vibrio lentus,negative
11288,MG592462,Vibrio,Vibrio lentus,negative
11289,MG592461,Vibrio,Vibrio splendidus,negative
11290,MG592460,Vibrio,Vibrio breoganii,negative
11291,MG592459,Vibrio,Enterovibrio norvegicus,negative
11292,MG592458,Vibrio,Shewanella,negative
11293,MG592457,Vibrio,Vibrio breoganii,negative
11294,MG592456,Vibrio,Shewanella,negative
11295,MG592454,Vibrio,Vibrio lentus,negative
11296,MG592453,Vibrio,Enterovibrio norvegicus,negative
11297,MG592452,Vibrio,Shewanella,negative
11298,MG592451,Vibrio,Vibrio sp.,negative
11299,MG592450,Vibrio,Vibrio breoganii,negative
11300,MG592449,Vibrio,uncharacterized,negative
11301,MG592448,Vibrio,Vibrio lentus,negative
11302,MG592447,Vibrio,Enterovibrio norvegicus,negative
11303,MG592445,Vibrio,Vibrio lentus,negative
11304,MG592444,Vibrio,Vibrio lentus,negative
11305,MG592443,Vibrio,Vibrio lentus,negative
11306,MG592442,Vibrio,uncharacterized,negative
11307,MG592441,Vibrio,Vibrio lentus,negative
11308,MG592439,Vibrio,Vibrio lentus,negative
11309,MG592438,Vibrio,Vibrio splendidus,negative
11310,MG592436,Vibrio,Vibrio lentus,negative
11311,MG592435,Vibrio,Enterovibrio norvegicus,negative
11312,MG592434,Vibrio,Vibrio sp.,negative
11313,MG592433,Vibrio,Enterovibrio norvegicus,negative
11314,MG592432,Vibrio,Shewanella,negative
11315,MG592431,Vibrio,Shewanella,negative
11316,MG592429,Vibrio,Vibrio cyclitrophicus,negative
11317,MG592428,Vibrio,Vibrio splendidus,negative
11318,MG592425,Vibrio,Vibrio lentus,negative
11319,MG592423,Vibrio,Vibrio lentus,negative
11320,MG592422,Vibrio,Vibrio lentus,negative
11321,MG592421,Vibrio,Vibrio lentus,negative
11322,MG592420,Vibrio,Vibrio lentus,negative
11323,MG592419,Vibrio,Vibrio breoganii,negative
11324,MG592418,Vibrio,Vibrio breoganii,negative
11325,MG592417,Vibrio,Vibrio lentus,negative
11326,MG592416,Vibrio,Vibrio splendidus,negative
11327,MG592415,Vibrio,Vibrio lentus,negative
11328,MG592414,Vibrio,Vibrio sp.,negative
11329,MG592413,Vibrio,Vibrio sp.,negative
11330,MG592412,Vibrio,Vibrio sp.,negative
11331,MG592411,Vibrio,Vibrio lentus,negative
11332,MG592410,Vibrio,Vibrio splendidus,negative
11333,MG592409,Vibrio,Vibrio splendidus,negative
11334,MG592408,Vibrio,Vibrio lentus,negative
11335,MG592407,Vibrio,Vibrio splendidus,negative
11336,MG592406,Vibrio,Vibrio splendidus,negative
11337,MG592405,Vibrio,Vibrio splendidus,negative
11338,MG592404,Vibrio,Vibrio splendidus,negative
11339,MG592403,Vibrio,Vibrio splendidus,negative
11340,MG592401,Vibrio,Vibrio sp.,negative
11341,MG592400,Vibrio,Vibrio lentus,negative
11342,MG592399,Vibrio,Vibrio breoganii,negative
11343,MG592398,Vibrio,Vibrio cyclitrophicus,negative
11344,MG592397,Vibrio,Vibrio lentus,negative
11345,MG592395,Vibrio,Vibrio lentus,negative
11346,MG592393,Vibrio,Vibrio cyclitrophicus,negative
11347,MG592392,Vibrio,Vibrio splendidus,negative
11348,MG592391,Vibrio,Vibrio lentus,negative
11349,MG592390,Vibrio,Vibrio lentus,negative
11350,MG159787,Gluconobacter,Gluconobacter cerinus,negative
11352,MF580962,Salinibacter,Salinibacter ruber,negative
11353,MF580960,Salinibacter,Salinibacter ruber,negative
11354,MF580958,Salinibacter,Salinibacter ruber,negative
11355,MG640035,Vibrio,Vibrio alginolyticus,negative
11357,MF172979,Erysipelothrix,Erysipelothrix rhusiopathiae,positive
11358,KY084243,Pectobacterium,Pectobacterium wasabiae,negative
11359,LC208019,Aeropyrum,Aeropyrum pernix,negative
11363,KY435490,Escherichia,Escherichia coli,negative
11364,MG646672,Salmonella,Salmonella enterica,positive
11365,MG646671,Salmonella,Salmonella enterica,positive
11366,MG646670,Salmonella,Salmonella enterica,positive
11367,MG646669,Salmonella,Salmonella enterica,positive
11368,MG646668,Salmonella,Salmonella enterica,positive
11369,MG696115,Plesiomonas,Plesiomonas sp.,negative
11370,MG696114,Proteus,Proteus penneri,negative
11371,MG673519,Escherichia,Escherichia coli,negative
11372,MG564297,Staphylococcus,methicillin-resistant Staphylococcus,positive
